zero_index,experiment_gamma,official_odlyzko_zeros1_display,signed_difference,absolute_difference
1,14.134725141735,14.134725142,-2.6500046601540816e-10,2.6500046601540816e-10
1000,1419.422480945996,1419.422480946,-3.865352482534945e-12,3.865352482534945e-12
2000,2515.286482924713,2515.286482925,-2.874003257602453e-10,2.874003257602453e-10
3000,3533.32824339582,3533.328243396,-1.7962520360015333e-10,1.7962520360015333e-10
4000,4506.311496728817,4506.311496729,-1.837179297581315e-10,1.837179297581315e-10
5000,5447.8619983013,5447.861998301,3.001332515850663e-10,3.001332515850663e-10
6000,6365.852321021016,6365.852321021,1.6370904631912708e-11,1.6370904631912708e-11
7000,7264.7482480903,7264.74824809,3.001332515850663e-10,3.001332515850663e-10
8000,8148.188405804615,8148.188405805,-3.8471625884994864e-10,3.8471625884994864e-10
9000,9018.42447561036,9018.42447561,3.601599019020796e-10,3.601599019020796e-10
10000,9877.7826540055,9877.782654004,1.4988472685217857e-09,1.4988472685217857e-09
