zero_index,official_zeros1_text,official_zeros1_float,frozen_experiment1_gamma,frozen_minus_official,abs_difference,within_odlyzko_3e_9
1,14.134725142,14.134725142,14.134725141735,-2.6500046601540816e-10,2.6500046601540816e-10,True
2,21.022039639,21.022039639,21.022039638772,-2.2799895305070095e-10,2.2799895305070095e-10,True
3,25.010857580,25.01085758,25.010857580146,1.4599876863030659e-10,1.4599876863030659e-10,True
4,30.424876126,30.424876126,30.42487612586,-1.4000178794049134e-10,1.4000178794049134e-10,True
5,32.935061588,32.935061588,32.935061587739,-2.610036631267576e-10,2.610036631267576e-10,True
6,37.586178159,37.586178159,37.586178158826,-1.7399770513293333e-10,1.7399770513293333e-10,True
7,40.918719012,40.918719012,40.918719012148,1.4800605185882887e-10,1.4800605185882887e-10,True
8,43.327073281,43.327073281,43.327073280915,-8.499512205162318e-11,8.499512205162318e-11,True
9,48.005150881,48.005150881,48.005150881167,1.6699885918569635e-10,1.6699885918569635e-10,True
10,49.773832478,49.773832478,49.773832477672,-3.2800073768157745e-10,3.2800073768157745e-10,True
11,52.970321478,52.970321478,52.970321477714,-2.860005565707979e-10,2.860005565707979e-10,True
12,56.446247697,56.446247697,56.446247697063,6.300382437984808e-11,6.300382437984808e-11,True
13,59.347044003,59.347044003,59.347044002603,-3.970015427512408e-10,3.970015427512408e-10,True
14,60.831778525,60.831778525,60.83177852461,-3.899955913766462e-10,3.899955913766462e-10,True
15,65.112544048,65.112544048,65.112544048082,8.199663170671556e-11,8.199663170671556e-11,True
16,67.079810529,67.079810529,67.079810529494,4.939977316098521e-10,4.939977316098521e-10,True
17,69.546401711,69.546401711,69.546401711174,1.7399770513293333e-10,1.7399770513293333e-10,True
18,72.067157674,72.067157674,72.067157674482,4.820037702302216e-10,4.820037702302216e-10,True
19,75.704690699,75.704690699,75.704690699084,8.400036222155904e-11,8.400036222155904e-11,True
20,77.144840069,77.144840069,77.144840068875,-1.2499867807491682e-10,1.2499867807491682e-10,True
21,79.337375020,79.33737502,79.337375020249,2.490025963197695e-10,2.490025963197695e-10,True
22,82.910380854,82.910380854,82.910380854086,8.600409273640253e-11,8.600409273640253e-11,True
23,84.735492981,84.735492981,84.735492980517,-4.829985300602857e-10,4.829985300602857e-10,True
24,87.425274613,87.425274613,87.425274613125,1.2499867807491682e-10,1.2499867807491682e-10,True
25,88.809111208,88.809111208,88.809111207634,-3.660005631900276e-10,3.660005631900276e-10,True
26,92.491899271,92.491899271,92.491899270558,-4.420002142069279e-10,4.420002142069279e-10,True
27,94.651344041,94.651344041,94.65134404052,-4.800000397153781e-10,4.800000397153781e-10,True
28,95.870634228,95.870634228,95.870634228245,2.4499513529008254e-10,2.4499513529008254e-10,True
29,98.831194218,98.831194218,98.831194218194,1.9400658857193775e-10,1.9400658857193775e-10,True
30,101.317851006,101.317851006,101.317851005731,-2.6899726890405873e-10,2.6899726890405873e-10,True
31,103.725538040,103.72553804,103.725538040478,4.779963092005346e-10,4.779963092005346e-10,True
32,105.446623052,105.446623052,105.446623052326,3.2599700716673397e-10,3.2599700716673397e-10,True
33,107.168611184,107.168611184,107.168611184276,2.760032202786533e-10,2.760032202786533e-10,True
34,111.029535543,111.029535543,111.02953554317,1.7000445495796157e-10,1.7000445495796157e-10,True
35,111.874659177,111.874659177,111.874659176993,-6.991740519879386e-12,6.991740519879386e-12,True
36,114.320220915,114.320220915,114.320220915453,4.530136266112095e-10,4.530136266112095e-10,True
37,116.226680321,116.226680321,116.226680320858,-1.4200907116901362e-10,1.4200907116901362e-10,True
38,118.790782866,118.790782866,118.790782865976,-2.4002133613976184e-11,2.4002133613976184e-11,True
39,121.370125002,121.370125002,121.370125002421,4.2101078179257456e-10,4.2101078179257456e-10,True
40,122.946829294,122.946829294,122.946829293553,-4.4700243506667903e-10,4.4700243506667903e-10,True
41,124.256818554,124.256818554,124.256818554346,3.459916797510232e-10,3.459916797510232e-10,True
42,127.516683880,127.51668388,127.516683879596,-4.0400038869847776e-10,4.0400038869847776e-10,True
43,129.578704200,129.5787042,129.578704199956,-4.3996806198265404e-11,4.3996806198265404e-11,True
44,131.087688531,131.087688531,131.087688530933,-6.698996912746225e-11,6.698996912746225e-11,True
45,133.497737203,133.497737203,133.497737202997,-3.0127011996228248e-12,3.0127011996228248e-12,True
46,134.756509753,134.756509753,134.756509753374,3.7400127439468633e-10,3.7400127439468633e-10,True
47,138.116042055,138.116042055,138.116042054533,-4.669971076509682e-10,4.669971076509682e-10,True
48,139.736208952,139.736208952,139.736208952122,1.220143985847244e-10,1.220143985847244e-10,True
49,141.123707404,141.123707404,141.123707404021,2.100364326906856e-11,2.100364326906856e-11,True
50,143.111845808,143.111845808,143.11184580762,-3.799982550845016e-10,3.799982550845016e-10,True
51,146.000982487,146.000982487,146.000982486766,-2.339959337405162e-10,2.339959337405162e-10,True
52,147.422765343,147.422765343,147.42276534256,-4.3999648369208444e-10,4.3999648369208444e-10,True
53,150.053520421,150.053520421,150.053520420785,-2.1501023184100632e-10,2.1501023184100632e-10,True
54,150.925257612,150.925257612,150.925257612241,2.41016095969826e-10,2.41016095969826e-10,True
55,153.024693811,153.024693811,153.024693811199,1.9900880943168886e-10,1.9900880943168886e-10,True
56,156.112909294,156.112909294,156.112909294238,2.3800339477020316e-10,2.3800339477020316e-10,True
57,157.597591818,157.597591818,157.597591817594,-4.0600411921332125e-10,4.0600411921332125e-10,True
58,158.849988171,158.849988171,158.84998817142,4.1998760025308e-10,4.1998760025308e-10,True
59,161.188964138,161.188964138,161.188964137596,-4.0398617784376256e-10,4.0398617784376256e-10,True
60,163.030709687,163.030709687,163.030709687182,1.8198420548287686e-10,1.8198420548287686e-10,True
61,165.537069188,165.537069188,165.5370691879,-1.000159954855917e-10,1.000159954855917e-10,True
62,167.184439978,167.184439978,167.184439978175,1.7499246496299747e-10,1.7499246496299747e-10,True
63,169.094515416,169.094515416,169.094515415568,-4.320099833421409e-10,4.320099833421409e-10,True
64,169.911976479,169.911976479,169.911976479412,4.120010999031365e-10,4.120010999031365e-10,True
65,173.411536520,173.41153652,173.411536519592,-4.0799363887344953e-10,4.0799363887344953e-10,True
66,174.754191523,174.754191523,174.754191523366,3.659863523353124e-10,3.659863523353124e-10,True
67,176.441434298,176.441434298,176.441434297711,-2.8899194148834795e-10,2.8899194148834795e-10,True
68,178.377407776,178.377407776,178.3774077761,9.99875737761613e-11,9.99875737761613e-11,True
69,179.916484020,179.91648402,179.916484020258,2.579838564997772e-10,2.579838564997772e-10,True
70,182.207078484,182.207078484,182.207078484366,3.660147740447428e-10,3.660147740447428e-10,True
71,184.874467848,184.874467848,184.874467848387,3.8701841731381137e-10,3.8701841731381137e-10,True
72,185.598783678,185.598783678,185.598783677707,-2.929994025180349e-10,2.929994025180349e-10,True
73,187.228922584,187.228922584,187.228922583502,-4.98005192639539e-10,4.98005192639539e-10,True
74,189.416158656,189.416158656,189.416158656017,1.6996182239381596e-11,1.6996182239381596e-11,True
75,192.026656361,192.026656361,192.026656360714,-2.8600766199815553e-10,2.8600766199815553e-10,True
76,193.079726604,193.079726604,193.079726603846,-1.539888216939289e-10,1.539888216939289e-10,True
77,195.265396680,195.26539668,195.265396679529,-4.710045686806552e-10,4.710045686806552e-10,True
78,196.876481841,196.876481841,196.876481840958,-4.197886482870672e-11,4.197886482870672e-11,True
79,198.015309676,198.015309676,198.015309676252,2.5201529751939233e-10,2.5201529751939233e-10,True
80,201.264751944,201.264751944,201.264751943704,-2.9601210371765774e-10,2.9601210371765774e-10,True
81,202.493594514,202.493594514,202.49359451414,1.4000534065417014e-10,1.4000534065417014e-10,True
82,204.189671803,204.189671803,204.189671803105,1.049897946359124e-10,1.049897946359124e-10,True
83,205.394697202,205.394697202,205.394697202163,1.6299850358336698e-10,1.6299850358336698e-10,True
84,207.906258888,207.906258888,207.906258887806,-1.9400658857193775e-10,1.9400658857193775e-10,True
85,209.576509717,209.576509717,209.576509716856,-1.439843799744267e-10,1.439843799744267e-10,True
86,211.690862595,211.690862595,211.690862595365,3.6499159250524826e-10,3.6499159250524826e-10,True
87,213.347919360,213.34791936,213.347919359713,-2.8700242182821967e-10,2.8700242182821967e-10,True
88,214.547044783,214.547044783,214.547044783492,4.920082119497238e-10,4.920082119497238e-10,True
89,216.169538508,216.169538508,216.169538508264,2.640092588990228e-10,2.640092588990228e-10,True
90,219.067596349,219.067596349,219.067596349022,2.1998403099132702e-11,2.1998403099132702e-11,True
91,220.714918839,220.714918839,220.714918839314,3.1400304578710347e-10,3.1400304578710347e-10,True
92,221.430705555,221.430705555,221.430705554694,-3.0601654543715995e-10,3.0601654543715995e-10,True
93,224.007000255,224.007000255,224.007000254604,-3.9599967749381904e-10,3.9599967749381904e-10,True
94,224.983324670,224.98332467,224.983324669583,-4.170033207628876e-10,4.170033207628876e-10,True
95,227.421444280,227.42144428,227.421444279679,-3.2099478630698286e-10,3.2099478630698286e-10,True
96,229.337413306,229.337413306,229.337413305525,-4.750120297103422e-10,4.750120297103422e-10,True
97,231.250188700,231.2501887,231.250188700499,4.989999524696032e-10,4.989999524696032e-10,True
98,231.987235253,231.987235253,231.98723525318,1.7999468582274858e-10,1.7999468582274858e-10,True
99,233.693404179,233.693404179,233.693404178909,-9.100631359615363e-11,9.100631359615363e-11,True
100,236.524229666,236.524229666,236.524229665816,-1.8400214685243554e-10,1.8400214685243554e-10,True
101,237.769820481,237.769820481,237.769820480925,-7.500489118683618e-11,7.500489118683618e-11,True
102,239.555477573,239.555477573,239.555477573328,3.2801494853629265e-10,3.2801494853629265e-10,True
103,241.049157796,241.049157796,241.049157796217,2.169997515011346e-10,2.169997515011346e-10,True
104,242.823271934,242.823271934,242.823271934223,2.2299673219094984e-10,2.2299673219094984e-10,True
105,244.070898497,244.070898497,244.070898497078,7.79891706770286e-11,7.79891706770286e-11,True
106,247.136990075,247.136990075,247.136990074898,-1.0200551514571998e-10,1.0200551514571998e-10,True
107,248.101990060,248.10199006,248.101990060148,1.4802026271354407e-10,1.4802026271354407e-10,True
108,249.573689645,249.573689645,249.573689644707,-2.929994025180349e-10,2.929994025180349e-10,True
109,251.014947795,251.014947795,251.014947795016,1.6001422409317456e-11,1.6001422409317456e-11,True
110,253.069986748,253.069986748,253.069986747999,-9.947598300641403e-13,9.947598300641403e-13,True
111,255.306256455,255.306256455,255.306256454914,-8.600409273640253e-11,8.600409273640253e-11,True
112,256.380713694,256.380713694,256.380713694435,4.3496584112290293e-10,4.3496584112290293e-10,True
113,258.610439492,258.610439492,258.610439491531,-4.690150490205269e-10,4.690150490205269e-10,True
114,259.874406990,259.87440699,259.874406989678,-3.220179678464774e-10,3.220179678464774e-10,True
115,260.805084505,260.805084505,260.805084504597,-4.030198397231288e-10,4.030198397231288e-10,True
116,263.573893905,263.573893905,263.57389390487,-1.3000089893466793e-10,1.3000089893466793e-10,True
117,265.557851839,265.557851839,265.557851838876,-1.240323399542831e-10,1.240323399542831e-10,True
118,266.614973782,266.614973782,266.614973781501,-4.989715307601728e-10,4.989715307601728e-10,True
119,267.921915083,267.921915083,267.921915082824,-1.7598722479306161e-10,1.7598722479306161e-10,True
120,269.970449024,269.970449024,269.970449023998,-1.9895196601282805e-12,1.9895196601282805e-12,True
121,271.494055642,271.494055642,271.494055641646,-3.539639692462515e-10,3.539639692462515e-10,True
122,273.459609188,273.459609188,273.459609188403,4.030198397231288e-10,4.030198397231288e-10,True
123,275.587492649,275.587492649,275.587492649344,3.439595275267493e-10,3.439595275267493e-10,True
124,276.452049503,276.452049503,276.452049503133,1.3301360013429075e-10,1.3301360013429075e-10,True
125,278.250743530,278.25074353,278.250743529842,-1.5802470443304628e-10,1.5802470443304628e-10,True
126,279.229250928,279.229250928,279.229250927745,-2.5499957700958475e-10,2.5499957700958475e-10,True
127,282.465114765,282.465114765,282.465114765053,5.297806637827307e-11,5.297806637827307e-11,True
128,283.211185733,283.211185733,283.211185733234,2.340243554499466e-10,2.340243554499466e-10,True
129,284.835963981,284.835963981,284.835963980905,-9.5042196335271e-11,9.5042196335271e-11,True
130,286.667445363,286.667445363,286.667445363003,3.0127011996228248e-12,3.0127011996228248e-12,True
131,287.911920501,287.911920501,287.911920501422,4.220055416226387e-10,4.220055416226387e-10,True
132,289.579854929,289.579854929,289.579854929219,2.1896084945183247e-10,2.1896084945183247e-10,True
133,291.846291329,291.846291329,291.846291329067,6.701839083689265e-11,6.701839083689265e-11,True
134,293.558434139,293.558434139,293.558434139356,3.560103323252406e-10,3.560103323252406e-10,True
135,294.965369619,294.965369619,294.965369619265,2.6500401872908697e-10,2.6500401872908697e-10,True
136,295.573254879,295.573254879,295.573254878958,-4.200728653813712e-11,4.200728653813712e-11,True
137,297.979277062,297.979277062,297.979277061943,-5.701394911739044e-11,5.701394911739044e-11,True
138,299.840326054,299.840326054,299.840326053722,-2.78021161648212e-10,2.78021161648212e-10,True
139,301.649325462,301.649325462,301.649325462194,1.9400658857193775e-10,1.9400658857193775e-10,True
140,302.696749590,302.69674959,302.696749589607,-3.930153980036266e-10,3.930153980036266e-10,True
141,304.864371341,304.864371341,304.864371340857,-1.4296119843493216e-10,1.4296119843493216e-10,True
142,305.728912602,305.728912602,305.728912602037,3.700506567838602e-11,3.700506567838602e-11,True
143,307.219496128,307.219496128,307.21949612817,1.7001866581267677e-10,1.7001866581267677e-10,True
144,310.109463147,310.109463147,310.109463146702,-2.979732016683556e-10,2.979732016683556e-10,True
145,311.165141530,311.16514153,311.165141530356,3.559534889063798e-10,3.559534889063798e-10,True
146,312.427801181,312.427801181,312.427801180601,-3.9898395698401146e-10,3.9898395698401146e-10,True
147,313.985285731,313.985285731,313.985285731159,1.5904788597254083e-10,1.5904788597254083e-10,True
148,315.475616089,315.475616089,315.475616089476,4.759499461215455e-10,4.759499461215455e-10,True
149,317.734805942,317.734805942,317.73480594237,3.6999381336499937e-10,3.6999381336499937e-10,True
150,318.853104256,318.853104256,318.853104256317,3.170157469867263e-10,3.170157469867263e-10,True
151,321.160134309,321.160134309,321.160134309114,1.1402789823478088e-10,1.1402789823478088e-10,True
152,322.144558672,322.144558672,322.144558672483,4.829985300602857e-10,4.829985300602857e-10,True
153,323.466969558,323.466969558,323.466969557512,-4.880007509200368e-10,4.880007509200368e-10,True
154,324.862866052,324.862866052,324.86286605174,-2.6000179786933586e-10,2.6000179786933586e-10,True
155,327.443901262,327.443901262,327.443901261905,-9.498535291641019e-11,9.498535291641019e-11,True
156,329.033071680,329.03307168,329.033071680481,4.810090104001574e-10,4.810090104001574e-10,True
157,329.953239728,329.953239728,329.953239728234,2.339675120310858e-10,2.339675120310858e-10,True
158,331.474467583,331.474467583,331.474467582664,-3.360014488862362e-10,3.360014488862362e-10,True
159,333.645378525,333.645378525,333.64537852487,-1.3000089893466793e-10,1.3000089893466793e-10,True
160,334.211354833,334.211354833,334.211354833244,2.440287971694488e-10,2.440287971694488e-10,True
161,336.841850428,336.841850428,336.841850428391,3.9102587834349833e-10,3.9102587834349833e-10,True
162,338.339992851,338.339992851,338.339992850807,-1.929834070324432e-10,1.929834070324432e-10,True
163,339.858216725,339.858216725,339.858216725364,3.6402525438461453e-10,3.6402525438461453e-10,True
164,341.042261111,341.042261111,341.042261111047,4.700950739788823e-11,4.700950739788823e-11,True
165,342.054877510,342.05487751,342.054877510364,3.6402525438461453e-10,3.6402525438461453e-10,True
166,344.661702940,344.66170294,344.661702940252,2.5198687580996193e-10,2.5198687580996193e-10,True
167,346.347870566,346.347870566,346.347870566011,1.1027623258996755e-11,1.1027623258996755e-11,True
