u_center,official_raw_zeros1_pair_count,frozen_experiment1_pair_count,count_difference
0.05,5,5,0
0.15,37,37,0
0.25,121,121,0
0.35,282,282,0
0.45,433,433,0
0.55,642,642,0
0.6500000000000001,805,805,0
0.75,1032,1032,0
0.8500000000000001,1006,1006,0
0.95,1035,1035,0
1.05,1007,1007,0
1.15,938,938,0
1.25,949,949,0
1.35,922,922,0
1.4500000000000002,962,962,0
1.55,965,965,0
1.65,1002,1002,0
1.75,1007,1007,0
1.85,1043,1043,0
1.95,969,969,0
2.05,988,988,0
2.1500000000000004,959,959,0
2.25,949,949,0
2.3500000000000005,989,989,0
2.45,1005,1005,0
2.55,968,968,0
2.6500000000000004,1018,1018,0
2.75,1024,1024,0
2.8500000000000005,1004,1004,0
2.95,962,962,0
3.05,1003,1003,0
3.1500000000000004,983,983,0
3.25,993,993,0
3.3500000000000005,947,947,0
3.45,1009,1009,0
3.55,997,997,0
3.65,980,980,0
3.75,1027,1027,0
3.850000000000001,1049,1049,0
3.95,977,977,0
4.050000000000001,942,942,0
4.15,957,957,0
4.25,986,986,0
4.35,1006,1006,0
4.45,1012,1012,0
4.550000000000001,1041,1041,0
4.65,1026,1026,0
4.75,989,989,0
4.8500000000000005,1011,1011,0
4.95,956,956,0
5.050000000000001,914,914,0
5.15,1009,1009,0
5.25,1033,1033,0
5.3500000000000005,1055,1055,0
5.45,1054,1054,0
5.550000000000001,1032,1032,0
5.65,961,961,0
5.75,939,939,0
5.8500000000000005,955,955,0
5.95,931,931,0
6.050000000000001,1005,1005,0
6.15,1070,1070,0
6.25,1089,1089,0
6.3500000000000005,969,969,0
6.45,1031,1031,0
6.550000000000001,942,942,0
6.65,971,971,0
6.75,943,943,0
6.8500000000000005,989,989,0
6.95,971,971,0
7.050000000000001,1061,1061,0
7.15,1033,1033,0
7.25,1131,1131,0
7.35,992,992,0
7.45,982,982,0
7.550000000000001,918,918,0
7.65,911,911,0
7.75,1003,1003,0
7.85,1003,1003,0
7.95,1121,1121,0
8.05,1094,1094,0
8.15,1022,1022,0
8.25,1003,1003,0
8.350000000000001,943,943,0
8.45,923,923,0
8.55,958,958,0
8.65,971,971,0
8.75,1075,1075,0
8.850000000000001,1013,1013,0
8.95,1046,1046,0
9.05,1027,1027,0
9.15,988,988,0
9.25,1018,1018,0
9.35,982,982,0
9.45,959,959,0
9.55,945,945,0
9.650000000000002,959,959,0
9.75,1024,1024,0
9.85,1057,1057,0
9.95,1011,1011,0
10.05,972,972,0
10.150000000000002,1105,1105,0
10.25,981,981,0
10.35,977,977,0
10.45,919,919,0
10.55,908,908,0
10.650000000000002,1042,1042,0
10.75,979,979,0
10.85,1050,1050,0
10.95,1070,1070,0
11.05,1044,1044,0
11.150000000000002,1062,1062,0
11.25,973,973,0
11.35,932,932,0
11.45,939,939,0
11.55,949,949,0
11.650000000000002,998,998,0
11.75,1099,1099,0
11.85,1040,1040,0
11.95,1049,1049,0
12.05,1086,1086,0
12.150000000000002,984,984,0
12.25,945,945,0
12.35,947,947,0
12.45,921,921,0
12.55,960,960,0
12.650000000000002,1081,1081,0
12.75,1069,1069,0
12.85,1050,1050,0
12.95,1018,1018,0
13.05,1002,1002,0
13.150000000000002,953,953,0
13.25,945,945,0
13.35,967,967,0
13.45,983,983,0
13.55,1002,1002,0
13.650000000000002,1059,1059,0
13.75,1044,1044,0
13.85,1013,1013,0
13.95,968,968,0
14.05,986,986,0
14.150000000000002,963,963,0
14.25,994,994,0
14.35,980,980,0
14.45,1030,1030,0
14.55,1058,1058,0
14.650000000000002,955,955,0
14.75,952,952,0
14.85,977,977,0
14.95,1001,1001,0
15.05,997,997,0
15.150000000000002,984,984,0
15.25,1020,1020,0
15.35,998,998,0
15.45,963,963,0
15.55,976,976,0
15.650000000000002,944,944,0
15.75,945,945,0
15.85,960,960,0
15.95,978,978,0
16.05,989,989,0
16.15,1033,1033,0
16.25,1011,1011,0
16.35,1016,1016,0
16.450000000000003,937,937,0
16.55,912,912,0
16.65,983,983,0
16.75,946,946,0
16.85,991,991,0
16.950000000000003,1080,1080,0
17.05,1048,1048,0
17.15,1096,1096,0
17.25,995,995,0
17.35,1026,1026,0
17.450000000000003,1016,1016,0
17.55,932,932,0
17.65,935,935,0
17.75,966,966,0
17.85,1023,1023,0
17.950000000000003,1039,1039,0
18.05,1083,1083,0
18.15,1124,1124,0
18.25,1037,1037,0
18.35,1002,1002,0
18.450000000000003,930,930,0
18.55,905,905,0
18.65,943,943,0
18.75,962,962,0
18.85,1054,1054,0
18.950000000000003,1074,1074,0
19.05,1097,1097,0
19.15,1083,1083,0
19.25,1030,1030,0
19.35,931,931,0
19.450000000000003,905,905,0
19.55,918,918,0
19.65,979,979,0
19.75,1023,1023,0
19.85,1030,1030,0
19.950000000000003,1098,1098,0
20.05,1019,1019,0
20.15,1062,1062,0
20.25,963,963,0
20.35,917,917,0
20.450000000000003,999,999,0
20.55,942,942,0
20.65,969,969,0
20.75,1006,1006,0
20.85,1067,1067,0
20.950000000000003,1047,1047,0
21.05,1039,1039,0
21.15,1001,1001,0
21.25,974,974,0
21.35,971,971,0
21.450000000000003,929,929,0
21.55,1029,1029,0
21.65,986,986,0
21.75,1049,1049,0
21.85,1027,1027,0
21.950000000000003,1030,1030,0
22.05,973,973,0
22.15,961,961,0
22.25,1026,1026,0
22.35,991,991,0
22.450000000000003,956,956,0
22.55,1013,1013,0
22.65,1019,1019,0
22.75,965,965,0
22.85,999,999,0
22.950000000000003,1062,1062,0
23.05,958,958,0
23.15,967,967,0
23.25,975,975,0
23.35,1000,1000,0
23.450000000000003,992,992,0
23.55,1007,1007,0
23.65,989,989,0
23.75,1004,1004,0
23.85,955,955,0
23.950000000000003,919,919,0
24.05,996,996,0
24.15,1042,1042,0
24.25,959,959,0
24.35,963,963,0
24.450000000000003,1010,1010,0
24.55,985,985,0
24.65,1020,1020,0
24.75,956,956,0
24.85,1001,1001,0
24.950000000000003,986,986,0
25.05,1035,1035,0
25.15,1018,1018,0
25.25,990,990,0
25.35,1031,1031,0
25.450000000000003,1021,1021,0
25.55,1015,1015,0
25.65,983,983,0
25.75,983,983,0
25.85,965,965,0
25.950000000000003,1009,1009,0
26.05,1016,1016,0
26.15,1032,1032,0
26.25,1027,1027,0
26.35,997,997,0
26.450000000000003,1006,1006,0
26.55,971,971,0
26.65,983,983,0
26.75,982,982,0
26.85,949,949,0
26.950000000000003,1017,1017,0
27.05,1042,1042,0
27.15,1104,1104,0
27.25,962,962,0
27.35,993,993,0
27.450000000000003,965,965,0
27.55,974,974,0
27.65,982,982,0
27.75,912,912,0
27.85,1012,1012,0
27.950000000000003,1069,1069,0
28.05,1045,1045,0
28.15,1003,1003,0
28.25,1039,1039,0
28.35,985,985,0
28.450000000000003,911,911,0
28.55,925,925,0
28.65,963,963,0
28.75,931,931,0
28.85,1012,1012,0
28.950000000000003,1060,1060,0
29.05,1049,1049,0
29.15,1070,1070,0
29.25,1006,1006,0
29.35,930,930,0
29.450000000000003,921,921,0
29.55,970,970,0
29.65,919,919,0
29.75,1043,1043,0
29.85,1011,1011,0
29.950000000000003,1076,1076,0
