location_id,midpoint_index_1based,m512_start_1based,m512_end_1based,m256_start_1based,m256_end_1based,m128_start_1based,m128_end_1based
1,256.5,1,512,129,384,193,320
2,889.5,634,1145,762,1017,826,953
3,1521.5,1266,1777,1394,1649,1458,1585
4,2154.5,1899,2410,2027,2282,2091,2218
5,2786.5,2531,3042,2659,2914,2723,2850
6,3419.5,3164,3675,3292,3547,3356,3483
7,4051.5,3796,4307,3924,4179,3988,4115
8,4684.5,4429,4940,4557,4812,4621,4748
9,5316.5,5061,5572,5189,5444,5253,5380
10,5949.5,5694,6205,5822,6077,5886,6013
11,6581.5,6326,6837,6454,6709,6518,6645
12,7214.5,6959,7470,7087,7342,7151,7278
13,7846.5,7591,8102,7719,7974,7783,7910
14,8479.5,8224,8735,8352,8607,8416,8543
15,9111.5,8856,9367,8984,9239,9048,9175
16,9744.5,9489,10000,9617,9872,9681,9808
