dataset,role,location_id,m,start_index_1based,end_index_1based,midpoint_index_1based,L,mean_spacing,rho2_finite,symmetry_max_abs_error,diagonal_max_abs_error,mu_min,mu_max,psd_tolerance,n_mu_below_negative_psd_tolerance,frobC2_points,frobC2_from_spectrum,frobC2_spectral_abs_error,D_C_points,frobC2_pair_prediction,D_C_pair_prediction,pair_prediction_abs_error_D,pair_prediction_rel_error_frob,n_crossings_lambda_0p10_0p95,crossing_min,crossing_max_finite
low_height_first_10000,primary,1,128,193,320,256.5,126.7974172343933,0.9984048601133331,1.011097125749611,0.0,0.0,0.007163327766481522,2.689030131595752,7.642683304981552e-12,0,243.80090212400927,243.80090212400927,0.0,0.9046945478438224,245.29371882224473,0.9163571782987869,-0.011662630454964518,-0.006123097516169721,51,0.3718812921618583,139.59992235440865
low_height_first_10000,primary,1,256,129,384,256.5,254.94263730783928,0.9997750482660364,1.0043733888736086,0.0,0.0,0.006566217924406597,2.6976642661280796,1.533444598253527e-11,0,487.85532639678354,487.8553263967835,5.684341886080802e-14,0.9056848687374357,491.06116775404575,0.9182076865392412,-0.01252281780180553,-0.006571295184865593,103,0.3706910502377993,152.29467122664408
low_height_first_10000,primary,1,512,1,512,256.5,511.033059274314,1.0000646952530607,1.001827316025836,0.0,0.0,0.006566215677503751,2.712638785413145,3.0839132539462584e-11,0,974.9097857866776,974.9097857866774,2.2737367544323206e-13,0.9041206753646047,982.7745809925054,0.9194816035009872,-0.015360928136382457,-0.008067203058672276,206,0.36864473271464204,152.29472334057803
low_height_first_10000,primary,2,128,826,953,889.5,126.41072259210932,0.9953600204103096,1.0172925473520014,0.0,0.0,0.001646072167510664,2.733909813718938,7.77023903344496e-12,0,245.42183626450955,245.42183626450952,2.842170943040401e-14,0.9173580958164809,245.65009366413642,0.9191413567510658,-0.0017832609345849182,-0.0009300614937167179,53,0.36577651354186397,607.5067787047809
low_height_first_10000,primary,2,256,762,1017,889.5,254.7403688624912,0.9989818386764361,1.0059690032508164,0.0,0.0,0.0016460721675095253,2.760682294144755,1.569266199876867e-11,0,489.4020196476771,489.4020196476771,0.0,0.9117266392487386,491.2471852760275,0.9189343174844824,-0.007207678235743753,-0.003770245226365728,102,0.3622292945917541,607.5067787052012
low_height_first_10000,primary,2,512,634,1145,889.5,511.32439129254476,1.0006348166194614,1.0006860396361696,0.0,0.0,0.0016460721675094435,2.7736275901813316,3.1532494974514196e-11,0,979.5076786503283,979.5076786503286,2.2737367544323206e-13,0.9131009348639225,982.5067995549149,0.9189585928806931,-0.005857658016770628,-0.003061865639194452,207,0.3605386691205444,607.5067787052313
low_height_first_10000,primary,3,128,1458,1585,1521.5,127.06598425858942,1.0005195610912554,1.0068275271438383,0.0,0.0,0.0018893984679571323,2.784861826564221,7.915053363843245e-12,0,244.2023139669992,244.20231396699918,2.842170943040401e-14,0.9078305778671814,245.04747720589597,0.9144334156710623,-0.006602837803880934,-0.003460914129630125,53,0.3590842426942719,529.2689800268688
low_height_first_10000,primary,3,256,1394,1649,1521.5,255.02505667176797,1.0000982614579137,1.0037243041092474,0.0,0.0,0.0018893984679573576,2.7871697620480838,1.5843225822027782e-11,0,490.1534065322169,490.15340653221693,5.684341886080802e-14,0.9146617442664722,490.9854545671139,0.9179119319027886,-0.0032501876363164595,-0.0016975257619520892,104,0.3587869004667927,529.2689800268057
low_height_first_10000,primary,3,512,1266,1777,1521.5,510.34352651560494,0.9987153160775047,1.0045363125634834,0.0,0.0,0.0018893984679572958,2.812704489155326,3.1976747881746246e-11,0,982.0192794416115,982.0192794416117,2.2737367544323206e-13,0.9180064051593975,983.4095896722297,0.9207218548285736,-0.00271544966917614,-0.0014157667366864034,209,0.35552970596648303,529.268980026823
low_height_first_10000,primary,4,128,2091,2218,2154.5,127.0065455565823,1.0000515398156087,1.007770132497429,0.0,0.0,0.004953679131809137,2.8351651048747994,8.058023879797245e-12,0,244.43145947361185,244.43145947361185,0.0,0.9096207771375926,245.10188576802489,0.9148584825626944,-0.005237705425101824,-0.002742798720986285,51,0.35271314474088095,201.87016021661242
