dataset,location_id,m,lambda,max_abs_eigenvalue_difference,trace_direct,trace_formula,frobH2_direct,frobH2_from_eigs
low_height_first_10000,1,128,0.1,1.2212453270876722e-15,115.20000000000003,115.2,104.83800902124011,104.83800902124008
low_height_first_10000,1,128,0.5,2.275957200481571e-15,64.0,64.0,60.95022553100232,60.95022553100232
low_height_first_10000,1,128,0.95,3.9968028886505635e-15,6.400000000000006,6.400000000000006,104.83031416691837,104.83031416691838
low_height_first_10000,1,256,0.1,1.6653345369377348e-15,230.40000000000006,230.4,209.67855326396787,209.67855326396784
low_height_first_10000,1,256,0.5,4.246603069191224e-15,128.0,128.0,121.96383159919588,121.9638315991959
low_height_first_10000,1,256,0.95,7.105427357601002e-15,12.800000000000011,12.800000000000011,209.88943207309714,209.8894320730971
low_height_first_10000,1,512,0.1,2.220446049250313e-15,460.8000000000001,460.8,419.3490978578668,419.3490978578668
low_height_first_10000,1,512,0.5,5.9396931817445875e-15,256.0,256.0,243.7274464466694,243.72744644666943
low_height_first_10000,1,512,0.95,1.2434497875801753e-14,25.600000000000023,25.600000000000023,419.05608167247647,419.05608167247635
low_height_first_10000,8,128,0.1,1.5543122344752192e-15,115.20000000000003,115.2,104.84090467890765,104.84090467890765
low_height_first_10000,8,128,0.5,2.9976021664879227e-15,64.0,64.0,61.02261697269102,61.02261697269102
low_height_first_10000,8,128,0.95,5.10702591327572e-15,6.400000000000006,6.400000000000006,105.09164727141456,105.09164727141457
low_height_first_10000,8,256,0.1,2.220446049250313e-15,230.40000000000006,230.4,209.7312929898155,209.73129298981547
low_height_first_10000,8,256,0.5,5.828670879282072e-15,128.0,128.0,123.28232474538706,123.28232474538707
low_height_first_10000,8,256,0.95,1.1324274851176597e-14,12.800000000000011,12.800000000000011,214.64919233084728,214.6491923308473
low_height_first_10000,8,512,0.1,3.219646771412954e-15,460.8000000000001,460.8,419.4391732483288,419.4391732483288
low_height_first_10000,8,512,0.5,6.772360450213455e-15,256.0,256.0,245.97933120821983,245.97933120821983
low_height_first_10000,8,512,0.95,1.5987211554602254e-14,25.600000000000023,25.600000000000023,427.18538566167354,427.1853856616736
low_height_first_10000,16,128,0.1,1.4432899320127035e-15,115.20000000000003,115.2,104.8417218032386,104.84172180323858
low_height_first_10000,16,128,0.5,4.052314039881821e-15,64.0,64.0,61.043045080964696,61.0430450809647
low_height_first_10000,16,128,0.95,7.993605777301127e-15,6.400000000000006,6.400000000000006,105.16539274228252,105.16539274228255
low_height_first_10000,16,256,0.1,2.3314683517128287e-15,230.40000000000006,230.4,209.70881664466773,209.7088166446677
low_height_first_10000,16,256,0.5,3.9968028886505635e-15,128.0,128.0,122.72041611669273,122.72041611669272
low_height_first_10000,16,256,0.95,6.661338147750939e-15,12.800000000000011,12.800000000000011,212.6207021812607,212.6207021812607
low_height_first_10000,16,512,0.1,3.3306690738754696e-15,460.8000000000001,460.8,419.4263748433737,419.42637484337365
low_height_first_10000,16,512,0.5,1.2434497875801753e-14,256.0,256.0,245.65937108434258,245.65937108434264
low_height_first_10000,16,512,0.95,2.0650148258027912e-14,25.600000000000023,25.600000000000023,426.0303296144767,426.03032961447684
near_1e12,1,128,0.1,1.887379141862766e-15,115.20000000000003,115.2,104.87186413454947,104.87186413454947
near_1e12,1,128,0.5,4.218847493575595e-15,64.0,64.0,61.79660336373682,61.79660336373682
near_1e12,1,128,0.95,7.327471962526033e-15,6.400000000000006,6.400000000000006,107.88573814308992,107.88573814308994
near_1e12,1,256,0.1,1.7763568394002505e-15,230.40000000000006,230.4,209.75778633189697,209.75778633189694
near_1e12,1,256,0.5,7.882583474838611e-15,128.0,128.0,123.94465829742353,123.94465829742353
near_1e12,1,256,0.95,1.1546319456101628e-14,12.800000000000011,12.800000000000011,217.04021645369895,217.04021645369892
near_1e12,1,512,0.1,2.886579864025407e-15,460.8000000000001,460.8,419.5071893239599,419.5071893239599
near_1e12,1,512,0.5,7.93809462606987e-15,256.0,256.0,247.67973309899656,247.6797330989966
near_1e12,1,512,0.95,2.1094237467877974e-14,25.600000000000023,25.600000000000023,433.3238364873777,433.3238364873776
near_1e12,8,128,0.1,1.5543122344752192e-15,115.20000000000003,115.2,104.93402380938016,104.93402380938016
near_1e12,8,128,0.5,3.6637359812630166e-15,64.0,64.0,63.35059523450395,63.350595234503935
near_1e12,8,128,0.95,9.325873406851315e-15,6.400000000000006,6.400000000000006,113.49564879655924,113.49564879655917
near_1e12,8,256,0.1,2.1094237467877974e-15,230.40000000000006,230.4,209.81266236448536,209.81266236448536
near_1e12,8,256,0.5,5.6066262743570405e-15,128.0,128.0,125.31655911213383,125.31655911213385
near_1e12,8,256,0.95,1.2434497875801753e-14,12.800000000000011,12.800000000000011,221.9927783948031,221.99277839480317
near_1e12,8,512,0.1,3.4416913763379853e-15,460.8000000000001,460.8,419.64654760639735,419.64654760639735
near_1e12,8,512,0.5,7.993605777301127e-15,256.0,256.0,251.16369015993297,251.16369015993303
near_1e12,8,512,0.95,2.4868995751603507e-14,25.600000000000023,25.600000000000023,445.900921477358,445.9009214773582
near_1e12,16,128,0.1,1.4432899320127035e-15,115.20000000000003,115.2,104.89359686129447,104.89359686129447
near_1e12,16,128,0.5,5.2735593669694936e-15,64.0,64.0,62.3399215323615,62.33992153236151
near_1e12,16,128,0.95,6.8833827526759706e-15,6.400000000000006,6.400000000000006,109.84711673182503,109.84711673182503
near_1e12,16,256,0.1,2.6645352591003757e-15,230.40000000000006,230.4,209.77498940394264,209.77498940394264
near_1e12,16,256,0.5,5.218048215738236e-15,128.0,128.0,124.37473509856584,124.37473509856585
near_1e12,16,256,0.95,8.215650382226158e-15,12.800000000000011,12.800000000000011,218.5927937058227,218.59279370582271
near_1e12,16,512,0.1,3.219646771412954e-15,460.8000000000001,460.8,419.5787226350427,419.5787226350427
near_1e12,16,512,0.5,9.076073226310655e-15,256.0,256.0,249.4680658760682,249.4680658760682
near_1e12,16,512,0.95,1.199040866595169e-14,25.600000000000023,25.600000000000023,439.7797178126062,439.77971781260624
near_1e21,1,128,0.1,1.4432899320127035e-15,115.20000000000003,115.2,104.91936975471975,104.91936975471975
near_1e21,1,128,0.5,3.9968028886505635e-15,64.0,64.0,62.98424386799365,62.984243867993655
near_1e21,1,128,0.95,7.327471962526033e-15,6.400000000000006,6.400000000000006,112.17312036345706,112.1731203634571
near_1e21,1,256,0.1,2.3314683517128287e-15,230.40000000000006,230.4,209.87333995528942,209.8733399552894
near_1e21,1,256,0.5,6.161737786669619e-15,128.0,128.0,126.83349888223525,126.83349888223526
near_1e21,1,256,0.95,1.1324274851176597e-14,12.800000000000011,12.800000000000011,227.46893096486923,227.46893096486926
near_1e21,1,512,0.1,3.4416913763379853e-15,460.8000000000001,460.8,419.6848665915661,419.6848665915661
near_1e21,1,512,0.5,9.492406860545088e-15,256.0,256.0,252.12166478915276,252.12166478915273
near_1e21,1,512,0.95,1.7541523789077473e-14,25.600000000000023,25.600000000000023,449.35920988884146,449.35920988884146
near_1e21,8,128,0.1,1.2212453270876722e-15,115.20000000000003,115.2,104.85709895149333,104.85709895149333
near_1e21,8,128,0.5,3.0808688933348094e-15,64.0,64.0,61.427473787333085,61.427473787333085
near_1e21,8,128,0.95,9.325873406851315e-15,6.400000000000006,6.400000000000006,106.55318037227241,106.55318037227244
near_1e21,8,256,0.1,1.7763568394002505e-15,230.40000000000006,230.4,209.7051077118831,209.7051077118831
near_1e21,8,256,0.5,5.800915303666443e-15,128.0,128.0,122.62769279707736,122.62769279707737
near_1e21,8,256,0.95,9.992007221626409e-15,12.800000000000011,12.800000000000011,212.28597099744925,212.28597099744934
near_1e21,8,512,0.1,2.3314683517128287e-15,460.8000000000001,460.8,419.4227479043227,419.4227479043227
near_1e21,8,512,0.5,1.2545520178264269e-14,256.0,256.0,245.56869760806802,245.56869760806805
near_1e21,8,512,0.95,1.9539925233402755e-14,25.600000000000023,25.600000000000023,425.70299836512555,425.7029983651256
near_1e21,16,128,0.1,1.3322676295501878e-15,115.20000000000003,115.2,104.8800293362984,104.8800293362984
near_1e21,16,128,0.5,4.773959005888173e-15,64.0,64.0,62.00073340746009,62.00073340746009
near_1e21,16,128,0.95,7.327471962526033e-15,6.400000000000006,6.400000000000006,108.62264760093092,108.62264760093092
