dataset,role,location_id,m,lambda,n_pos_res,n_neg_res,n_unres,p_pos_res,p_neg_res,p_unres,H_norm2_from_spectrum,epsilon_screen,min_abs_H_eigenvalue,trace_formula,trace_spectrum,trace_abs_error,frobH2_formula,frobH2_spectrum,frobH2_abs_error,npos_lower_bound_raw,b_pos_normalized,bound_slack_fraction
low_height_first_10000,primary,1,128,0.1,128,0,0,1.0,0.0,0.0,0.9992836672233518,1e-10,0.7310969868404248,115.2,115.2,0.0,104.8380090212401,104.83800902124008,1.4210854715202004e-14,126.58615061367007,0.9889543016692974,0.011045698330702569
low_height_first_10000,primary,1,128,0.15,128,0,0,1.0,0.0,0.0,0.9989255008350277,1e-10,0.5966454802606372,108.8,108.79999999999998,1.4210854715202004e-14,95.0855202977902,95.08552029779021,1.4210854715202004e-14,124.49256167424161,0.9725981380800126,0.02740186191998739
low_height_first_10000,primary,1,128,0.2,128,0,0,1.0,0.0,0.0,0.9985673344467036,1e-10,0.4621939736808496,102.4,102.4,0.0,86.55203608496038,86.55203608496036,1.4210854715202004e-14,121.14977849518262,0.9464826444936142,0.05351735550638581
low_height_first_10000,primary,1,128,0.25,128,0,0,1.0,0.0,0.0,0.9982091680583797,1e-10,0.32774246710106203,96.0,96.0,0.0,79.23755638275058,79.23755638275057,1.4210854715202004e-14,116.30848325865654,0.9086600254582542,0.0913399745417458
low_height_first_10000,primary,1,128,0.3,128,0,0,1.0,0.0,0.0,0.9978510016700556,1e-10,0.19329096052127448,89.6,89.6,0.0,73.14208119116084,73.14208119116083,1.4210854715202004e-14,109.7611644248673,0.8575090970692758,0.1424909029307242
low_height_first_10000,primary,1,128,0.35,128,0,0,1.0,0.0,0.0,0.9974928352817315,1e-10,0.05883945394148693,83.2,83.2,0.0,68.26561051019114,68.26561051019112,1.4210854715202004e-14,101.40156878794197,0.7921997561557966,0.20780024384420337
low_height_first_10000,primary,1,128,0.4,108,20,0,0.84375,0.15625,0.0,0.9971346688934074,1e-10,0.0055769946332737685,76.8,76.8,0.0,64.60814433984149,64.60814433984147,1.4210854715202004e-14,91.29251521255611,0.7132227750980946,0.13052722490190538
low_height_first_10000,primary,1,128,0.45,108,20,0,0.84375,0.15625,0.0,0.9967765025050833,1e-10,0.0017779991609160328,70.4,70.4,0.0,62.169682680111876,62.169682680111876,0.0,79.719885744012,0.6228116073750938,0.22093839262490622
low_height_first_10000,primary,1,128,0.5,96,32,0,0.75,0.25,0.0,0.9964183361167592,1e-10,0.006598870305629001,64.0,64.0,0.0,60.95022553100232,60.95022553100232,0.0,67.20237643610639,0.5250185659070812,0.22498143409291882
low_height_first_10000,primary,1,128,0.55,95,33,0,0.7421875,0.2578125,0.0,0.9960601697284351,1e-10,0.060626150582805405,57.599999999999994,57.599999999999994,0.0,60.9497728925128,60.949772892512804,7.105427357601002e-15,54.43432916232507,0.4252681965806646,0.3169193034193354
