dataset,metric,difference_vs_CUE,cue_individual_window_sd,effect_in_cue_individual_window_sd,cue_16_window_mean_bootstrap_sd,effect_in_cue_16_window_mean_bootstrap_sd,bootstrap_two_sided_tail_descriptive
D0_first_10000,mu2,-0.029842181168250326,0.022203358367923226,-1.3440390716461508,0.00554134937082062,-5.385363594901974,4.999750012499375e-05
D0_first_10000,mu3,-0.10356092248038284,0.0761483523953964,-1.3599890112217805,0.0188388268149229,-5.497206566936991,4.999750012499375e-05
D0_first_10000,mu4_raw,-0.28491727543346546,0.20338812846618928,-1.4008549937605104,0.05073122339716279,-5.616211405014132,4.999750012499375e-05
D0_first_10000,mu4_gt2,-0.0797728718140257,0.06832269852881873,-1.1675895936747471,0.016887362093716596,-4.723820770308903,4.999750012499375e-05
D1_near_1e12,mu2,0.010692328029674014,0.022203358367923226,0.48156354784242994,0.00549798690501698,1.9447714616993967,0.05264736763161842
D1_near_1e12,mu3,0.034634312030029646,0.0761483523953964,0.4548268076792097,0.01897848068259707,1.8249254305055458,0.06699665016749162
D1_near_1e12,mu4_raw,0.08947299102678352,0.20338812846618928,0.4399125539013811,0.05048983295234813,1.7720991691778296,0.07869606519674016
D1_near_1e12,mu4_gt2,0.01812245272230592,0.06832269852881873,0.265247906077097,0.016931994920367604,1.0703081832670707,0.2855857207139643
D2_near_1e21,mu2,0.0050561691620785165,0.022203358367923226,0.22772091853379572,0.005494604339390786,0.9202062332006092,0.36113194340282984
D2_near_1e21,mu3,0.01363741409090058,0.0761483523953964,0.179090074333966,0.018749587677888854,0.7273447461984993,0.4704764761761912
D2_near_1e21,mu4_raw,0.026006629536110992,0.20338812846618928,0.12786699859148498,0.0507923997441943,0.5120181300172496,0.6091195440227989
D2_near_1e21,mu4_gt2,-0.0062671812653612435,0.06832269852881873,-0.09172912370722194,0.016978102992474795,-0.36913318691369973,0.711814409279536
